Job.ID,Job.Category,Annual_salary,Posting.Date,month,count
132292,Maintenance,53244,10/24/2013,10,26
133921,Maintenance,76734,01/09/2014,1,10
137433,Finance,67825.5,12/09/2013,12,3
137433,Accounting,67825.5,12/09/2013,12,3
137433,Procurement,67825.5,12/09/2013,12,2
138531,Inspections,62853,12/20/2013,12,5
138531,Enforcement,62853,12/20/2013,12,4
151131,Engineering,100000,06/25/2014,6,26
151131,Architecture,100000,06/25/2014,6,26
151131,Planning,100000,06/25/2014,6,17
160910,Finance,54746,08/21/2014,8,25
160910,Accounting,54746,08/21/2014,8,27
160910,Procurement,54746,08/21/2014,8,19
171944,Finance,48146,10/30/2014,10,31
171944,Accounting,48146,10/30/2014,10,34
187049,Maintenance,65458.8,04/15/2015,4,7
195805,Social Services,74092.5,05/29/2015,5,4
197355,Engineering,198518,06/23/2015,6,26
197355,Architecture,198518,06/23/2015,6,26
197941,Health,75681.65,07/01/2015,7,4
199170,Health,47136.5,07/10/2015,7,4
203387,Health,47250.06,08/03/2015,8,13
219112,Maintenance,53244,01/25/2016,1,10
226045,Analysis,77482,12/17/2015,12,6
228550,Social Services,76837.5,01/22/2016,1,2
229124,Health,58971,01/21/2016,1,6
230974,Social Services,77504,08/04/2016,8,6
234203,Finance,79419.5,03/03/2016,3,2
234203,Accounting,79419.5,03/03/2016,3,3
234203,Procurement,79419.5,03/03/2016,3,3
235309,Public Safety,29561,03/14/2016,3,1
235309,Inspections,29561,03/14/2016,3,7
235309,Enforcement,29561,03/14/2016,3,7
237576,Finance,107734,04/04/2016,4,6
237576,Accounting,107734,04/04/2016,4,8
237576,Procurement,107734,04/04/2016,4,6
237577,Finance,79419.5,04/04/2016,4,6
237577,Accounting,79419.5,04/04/2016,4,8
237577,Procurement,79419.5,04/04/2016,4,6
237921,Social Services,71252,04/06/2016,4,2
239048,Policy,74528.5,05/10/2016,5,4
239551,Social Services,56986.5,05/13/2016,5,4
242091,Health,75681.65,05/31/2016,5,4
242174,Analysis,72016,06/13/2016,6,11
242175,Finance,78026.5,06/09/2016,6,11
242175,Accounting,78026.5,06/09/2016,6,13
242175,Procurement,78026.5,06/09/2016,6,9
242604,Public Safety,48677.5,06/07/2016,6,7
242604,Inspections,48677.5,06/07/2016,6,15
242604,Enforcement,48677.5,06/07/2016,6,15
243565,Public Safety,48677.5,06/22/2016,6,7
243565,Inspections,48677.5,06/22/2016,6,15
243565,Enforcement,48677.5,06/22/2016,6,15
243586,Engineering,90298,06/27/2016,6,26
243586,Architecture,90298,06/27/2016,6,26
243586,Planning,90298,06/27/2016,6,17
243640,Social Services,99521,07/08/2016,7,1
245324,Finance,64384,07/06/2016,7,16
245324,Accounting,64384,07/06/2016,7,18
245324,Procurement,64384,07/06/2016,7,14
246734,Finance,79419.5,08/05/2016,8,25
246734,Accounting,79419.5,08/05/2016,8,27
246734,Procurement,79419.5,08/05/2016,8,19
246892,Finance,60692.5,07/19/2016,7,16
246892,Accounting,60692.5,07/19/2016,7,18
246892,Procurement Policy,60692.5,07/19/2016,7,3
246892,Analysis,60692.5,07/19/2016,7,21
247320,Engineering,52000,07/26/2016,7,32
247320,Architecture,52000,07/26/2016,7,33
247320,Planning,52000,07/26/2016,7,26
249126,Engineering,86976.5,07/29/2016,7,32
249126,Architecture,86976.5,07/29/2016,7,33
249126,Planning,86976.5,07/29/2016,7,26
251310,Administration,46837,08/05/2016,8,11
251630,Finance,62397.5,08/11/2016,8,25
251630,Accounting,62397.5,08/11/2016,8,27
251630,Procurement Policy,62397.5,08/11/2016,8,3
251630,Research,62397.5,08/11/2016,8,26
251630,Analysis,62397.5,08/11/2016,8,21
252119,Engineering,64495,08/11/2016,8,51
252119,Architecture,64495,08/11/2016,8,55
252119,Planning,64495,08/11/2016,8,42
252730,Building Operations,78816.78,08/16/2016,8,16
252730,Maintenance,78816.78,08/16/2016,8,16
254594,Engineering,95928,08/18/2016,8,51
254594,Architecture,95928,08/18/2016,8,55
